route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
Fraser,3,,,TL,6840,https://translink.ca/schedules-and-maps/route/N8/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=N8,,N8
Haney Place/Albion,3,,,TL,34043,https://translink.ca/schedules-and-maps/route/746/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=746,,746
Broadway-Lougheed,3,,,TL,6841,https://translink.ca/schedules-and-maps/route/N9/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=N9,,N9
North Fraser Way,3,,,TL,6648,https://translink.ca/schedules-and-maps/route/116/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=116,,116
Canada Way,3,,,TL,6649,https://translink.ca/schedules-and-maps/route/123/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=123,,123
22nd St Station/Annacis Island,3,,,TL,6644,https://translink.ca/schedules-and-maps/route/104/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=104,,104
6th Street,3,,,TL,6645,https://translink.ca/schedules-and-maps/route/106/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=106,,106
Lougheed Station/Metrotown Station,3,,,TL,6646,https://translink.ca/schedules-and-maps/route/110/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=110,,110
12th Street,3,,,TL,6647,https://translink.ca/schedules-and-maps/route/112/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=112,,112
Broadway B-Line,3,FFFFFF,d04110,TL,6641,https://translink.ca/schedules-and-maps/route/99/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=99,,099
Marine Drive,3,,,TL,6642,https://translink.ca/schedules-and-maps/route/100/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=100,,100
Lougheed Station/22nd St Station,3,,,TL,6643,https://translink.ca/schedules-and-maps/route/101/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=101,,101
South Delta Exchange/Boundary Bay,3,,,TL,6844,https://translink.ca/schedules-and-maps/route/619/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=619,,619
English Bluff/South Delta Exchange,3,,,TL,6843,https://translink.ca/schedules-and-maps/route/614/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=614,,614
Coquitlam Central Station/Lansdowne,3,,,TL,30048,https://translink.ca/schedules-and-maps/route/185/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=185,,185
Coquitlam Central Station/Hampton Park,3,,,TL,30049,https://translink.ca/schedules-and-maps/route/186/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=186,,186
Coquitlam Central Station/Buntzen Lake,3,,,TL,30042,https://translink.ca/schedules-and-maps/route/179/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=179,,179
Moody Centre Station/Lougheed Station,3,,,TL,30043,https://translink.ca/schedules-and-maps/route/180/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=180,,180
Marine Dr Express,3,,,TL,45596,https://translink.ca/schedules-and-maps/route/80/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=80,,080
Coquitlam Central Station/Meridian,3,,,TL,30041,https://translink.ca/schedules-and-maps/route/175/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=175,,175
Moody Centre Station/Coquitlam Central Station,3,,,TL,30046,https://translink.ca/schedules-and-maps/route/183/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=183,,183
Moody Centre Station/Noons Creek,3,,,TL,30047,https://translink.ca/schedules-and-maps/route/184/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=184,,184
Moody Centre Station/Ioco,3,,,TL,30044,https://translink.ca/schedules-and-maps/route/181/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=181,,181
Moody Centre Station/Belcarra,3,,,TL,30045,https://translink.ca/schedules-and-maps/route/182/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=182,,182
Harbourside/Lonsdale Quay,3,,,TL,18213,https://translink.ca/schedules-and-maps/route/231/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=231,,231
116 Street,3,,,TL,6718,https://translink.ca/schedules-and-maps/route/391/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=391,,391
128 Street,3,,,TL,6719,https://translink.ca/schedules-and-maps/route/393/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=393,,393
White Rock Centre/Bridgeport Station,3,,,TL,6716,https://translink.ca/schedules-and-maps/route/352/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=352,,352
White Rock South/Bridgeport Station,3,,,TL,6717,https://translink.ca/schedules-and-maps/route/354/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=354,,354
152 Street,3,,,TL,6714,https://translink.ca/schedules-and-maps/route/345/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=345,,345
White Rock Centre/Bridgeport Station,3,,,TL,6715,https://translink.ca/schedules-and-maps/route/351/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=351,,351
Newton Exchange/Surrey Central Station,3,,,TL,6712,https://translink.ca/schedules-and-maps/route/335/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=335,,335
Canada Line,1,FFFFFF,007c9f,TL,13686,https://translink.ca/schedules-and-maps/line/canada-line/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_line&utm_term=canada-line,,
Surrey Central Station/Scottsdale,3,,,TL,6710,https://translink.ca/schedules-and-maps/route/329/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=329,,329
Richmond Oval/Brighouse Station,3,,,TL,13684,https://translink.ca/schedules-and-maps/route/414/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=414,,414
New West Station/Uptown,3,,,TL,6796,https://translink.ca/schedules-and-maps/route/105/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=105,,105
Garden City,3,,,TL,34543,https://translink.ca/schedules-and-maps/route/408/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=408,,408
New West Station/Quayside,3,,,TL,6790,https://translink.ca/schedules-and-maps/route/103/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=103,,103
Como Lake Ave,3,,,TL,6659,https://translink.ca/schedules-and-maps/route/151/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=151,,151
SFU Exchange/Production Station,3,,,TL,6658,https://translink.ca/schedules-and-maps/route/145/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=145,,145
SFU Exchange/Metrotown Station,3,,,TL,6657,https://translink.ca/schedules-and-maps/route/144/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=144,,144
SFU Exchange/Burquitlam Station,3,,,TL,6656,https://translink.ca/schedules-and-maps/route/143/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=143,,143
Lougheed Station/Brentwood Station,3,,,TL,6654,https://translink.ca/schedules-and-maps/route/136/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=136,,136
Bike Bus,3,,,TL,44845,https://translink.ca/schedules-and-maps/route/900/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=900,,900
Lake City Station/Brentwood Station,3,,,TL,6652,https://translink.ca/schedules-and-maps/route/134/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=134,,134
Willingdon,3,,,TL,6651,https://translink.ca/schedules-and-maps/route/130/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=130,,130
Patterson Station/Holdom Station,3,,,TL,6650,https://translink.ca/schedules-and-maps/route/129/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=129,,129
Brookswood School Special,3,,,TL,29040,https://translink.ca/schedules-and-maps/route/840/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=840,,840
Haney Place/Braid Station,3,,,TL,7224,https://translink.ca/schedules-and-maps/route/791/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=791,,791
New West Station/Victoria  Hill,3,,,TL,46099,https://translink.ca/schedules-and-maps/route/102/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=102,,102
16th & 33rd Avenue,3,,,TL,11201,https://translink.ca/schedules-and-maps/route/33/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=33,,033
Fraser Heights/Surrey Central Station,3,,,TL,17707,https://translink.ca/schedules-and-maps/route/337/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=337,,337
Alma/Spanish Banks,3,,,TL,11202,https://translink.ca/schedules-and-maps/route/42/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=42,,042
Seaside/White Rock Centre,3,,,TL,31818,https://translink.ca/schedules-and-maps/route/362/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=362,,362
Surrey Central Station/Sunbury,3,,,TL,6701,https://translink.ca/schedules-and-maps/route/314/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=314,,314
112 Street,3,,,TL,6700,https://translink.ca/schedules-and-maps/route/312/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=312,,312
Scott Road,3,,,TL,6703,https://translink.ca/schedules-and-maps/route/319/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=319,,319
116 Street,3,,,TL,6702,https://translink.ca/schedules-and-maps/route/316/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=316,,316
King George Blvd,3,,,TL,6705,https://translink.ca/schedules-and-maps/route/321/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=321,,321
Langley/Fleetwood/Surrey Central Station,3,,,TL,6704,https://translink.ca/schedules-and-maps/route/320/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=320,,320
132 Street,3,,,TL,6707,https://translink.ca/schedules-and-maps/route/324/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=324,,324
128 Street,3,,,TL,6706,https://translink.ca/schedules-and-maps/route/323/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=323,,323
Indian River/Phibbs Exchange,3,,,TL,6780,https://translink.ca/schedules-and-maps/route/215/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=215,,215
Coquitlam Central Station/Braid Station,3,,,TL,6668,https://translink.ca/schedules-and-maps/route/169/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=169,,169
8th Avenue,3,,,TL,6662,https://translink.ca/schedules-and-maps/route/128/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=128,,128
6th Avenue,3,,,TL,6663,https://translink.ca/schedules-and-maps/route/155/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=155,,155
Coquitlam Central Station/Lougheed Station,3,,,TL,6660,https://translink.ca/schedules-and-maps/route/152/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=152,,152
Coquitlam Central Station/Braid Station,3,,,TL,6661,https://translink.ca/schedules-and-maps/route/153/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=153,,153
Coquitlam Central Station/Braid Station,3,,,TL,6666,https://translink.ca/schedules-and-maps/route/159/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=159,,159
Port Coquitlam Station/Kootenay Loop,3,,,TL,6667,https://translink.ca/schedules-and-maps/route/160/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=160,,160
Braid Station/Lougheed Station,3,,,TL,6664,https://translink.ca/schedules-and-maps/route/156/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=156,,156
Burquitlam Station/Lougheed Station,3,,,TL,6665,https://translink.ca/schedules-and-maps/route/157/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=157,,157
Lord Tweedsmuir School Special,3,,,TL,29039,https://translink.ca/schedules-and-maps/route/864/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=864,,864
Langley Centre/Newton Exchange,3,,,TL,29038,https://translink.ca/schedules-and-maps/route/342/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=342,,342
Rupert,3,,,TL,6629,https://translink.ca/schedules-and-maps/route/27/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=27,,027
Newton Exchange/Scottsdale,3,,,TL,6821,https://translink.ca/schedules-and-maps/route/322/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=322,,322
Scottsdale/Ladner,3,,,TL,6822,https://translink.ca/schedules-and-maps/route/310/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=310,,310
Ladner South/Ladner Exchange,3,,,TL,6823,https://translink.ca/schedules-and-maps/route/616/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=616,,616
Ladner North/Ladner Exchange,3,,,TL,6825,https://translink.ca/schedules-and-maps/route/618/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=618,,618
Bridgeport Station/Sea Island South,3,,,TL,6827,https://translink.ca/schedules-and-maps/route/412/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=412,,412
Riverport/Steveston,3,,,TL,6828,https://translink.ca/schedules-and-maps/route/413/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=413,,413
East Cambie/Brighouse Station,3,,,TL,6829,https://translink.ca/schedules-and-maps/route/416/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=416,,416
Blueridge/Phibbs Exchange/Burrard Station,3,,,TL,6675,https://translink.ca/schedules-and-maps/route/214/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=214,,214
Dollarton Hwy,3,,,TL,6674,https://translink.ca/schedules-and-maps/route/212/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=212,,212
Lonsdale Ave,3,,,TL,6677,https://translink.ca/schedules-and-maps/route/229/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=229,,229
Grand Blvd,3,,,TL,6676,https://translink.ca/schedules-and-maps/route/228/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=228,,228
Seymour/Phibbs Exchange/Burrard Station,3,,,TL,6673,https://translink.ca/schedules-and-maps/route/211/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=211,,211
New West Station/Lougheed Station,3,,,TL,16719,https://translink.ca/schedules-and-maps/route/109/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=109,,109
Mountain Hwy,3,,,TL,16717,https://translink.ca/schedules-and-maps/route/209/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=209,,209
Grouse Mountain/Phibbs Exchange,3,,,TL,6679,https://translink.ca/schedules-and-maps/route/232/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=232,,232
Lonsdale Ave,3,,,TL,6678,https://translink.ca/schedules-and-maps/route/230/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=230,,230
Samuel Robertson School Special,3,,,TL,8289,https://translink.ca/schedules-and-maps/route/865/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=865,,865
Cloverdale/Willowbrook,3,,,TL,8286,https://translink.ca/schedules-and-maps/route/370/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=370,,370
Eagle Cliff/Snug Cove,3,,,TL,6778,https://translink.ca/schedules-and-maps/route/281/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=281,,281
Lions Bay/Caulfeild,3,,,TL,6779,https://translink.ca/schedules-and-maps/route/262/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=262,,262
Railway Ave,3,,,TL,34542,https://translink.ca/schedules-and-maps/route/406/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=406,,406
South Delta Exchange/Ladner Exchange,3,,,TL,11696,https://translink.ca/schedules-and-maps/route/609/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=609,,609
Hastings @ Gilmore/Kootenay Loop,3,,,TL,6776,https://translink.ca/schedules-and-maps/route/131/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=131,,131
Bluewater/Snug Cove,3,,,TL,6777,https://translink.ca/schedules-and-maps/route/280/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=280,,280
64 Avenue,3,,,TL,11692,https://translink.ca/schedules-and-maps/route/364/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=364,,364
88 Avenue,3,,,TL,11693,https://translink.ca/schedules-and-maps/route/388/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=388,,388
White Rock Centre/Crescent Beach,3,,,TL,40855,https://translink.ca/schedules-and-maps/route/350/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=350,,350
Fraser Hwy Express,3,,,TL,23384,https://translink.ca/schedules-and-maps/route/503/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=503,,503
West Broadway,3,,,TL,6833,https://translink.ca/schedules-and-maps/route/N17/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=N17,,N17
Cambie,3,,,TL,6831,https://translink.ca/schedules-and-maps/route/N15/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=N15,,N15
Langley Centre/Brookswood,3,,,TL,34045,https://translink.ca/schedules-and-maps/route/561/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=561,,561
Downtown/Lynn Valley,3,,,TL,6837,https://translink.ca/schedules-and-maps/route/N24/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=N24,,N24
Macdonald,3,,,TL,6836,https://translink.ca/schedules-and-maps/route/N22/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=N22,,N22
Victoria,3,,,TL,6835,https://translink.ca/schedules-and-maps/route/N20/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=N20,,N20
Kingsway,3,,,TL,6834,https://translink.ca/schedules-and-maps/route/N19/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=N19,,N19
Mountain Hwy Express,3,,,TL,6672,https://translink.ca/schedules-and-maps/route/210/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=210,,210
Port Mann Express,3,,,TL,20667,https://translink.ca/schedules-and-maps/route/555/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=555,,555
Lougheed Hwy,3,FFFFFF,008522,TL,37809,https://translink.ca/schedules-and-maps/route/R3/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=R3,,R3
King George Blvd,3,FFFFFF,008522,TL,37808,https://translink.ca/schedules-and-maps/route/R1/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=R1,,R1
